split_seed,method,method_label,round,n_initial_train,n_acquired,n_train_total,n_pool_remaining,n_test,catastrophic_threshold,n_catastrophic_errors,catastrophic_error_rate,mean_abs_log_error,median_abs_log_error,max_abs_log_error,rmse_log_error,signed_log_error_mean,gate_fallback_count
6,gp_m52_ei,GP M52 + EI,2,40,10,50,25,20,1.0,7,0.35,3.1282797083483165,0.3370940653029262,10.856476588192956,5.217889054304104,-2.964447212896039,0
6,gp_m52_ei,GP M52 + EI,3,40,15,55,20,20,1.0,7,0.35,2.707202564979366,0.2913879083953441,10.856476588192956,4.688203961026784,-2.5935002353355694,0
6,gp_m52_ei,GP M52 + EI,4,40,20,60,15,20,1.0,7,0.35,3.166450473049646,0.5701409124645167,10.856476588192956,5.221118464423997,-3.0127218142807815,0
6,gp_m52_ei,GP M52 + EI,5,40,25,65,10,20,1.0,7,0.35,3.1542274184629706,0.4685326669446628,10.856476588192956,5.220952641291736,-3.025363989685526,0
6,gp_m52_ei,GP M52 + EI,6,40,30,70,5,20,1.0,7,0.35,3.1465556880664365,0.4907105951009951,10.856476588192956,5.22019444170701,-3.012137146157591,0
6,gp_m52_ei,GP M52 + EI,7,40,35,75,0,20,1.0,7,0.35,2.7234935627685943,0.4609884441271399,10.856476588192956,4.6877688816285605,-2.60026682994047,0
6,pi_random_exploration,GP M52 PI + Random Exploration,0,40,0,40,35,20,1.0,7,0.35,2.716704328567016,0.3256560726283961,10.856476588192956,4.695855598057804,-2.5918333797563604,0
6,pi_random_exploration,GP M52 PI + Random Exploration,1,40,5,45,30,20,1.0,7,0.35,2.7265761492384906,0.3876834418300339,10.856476588192956,4.6905943972225135,-2.546556966056556,0
6,pi_random_exploration,GP M52 PI + Random Exploration,2,40,10,50,25,20,1.0,7,0.35,3.155877888601915,0.4308449970754999,10.856476588192956,5.219208311033717,-3.012693250300902,0
6,pi_random_exploration,GP M52 PI + Random Exploration,3,40,15,55,20,20,1.0,7,0.35,3.1711218450256213,0.4794756279806291,10.856476588192956,5.219949463610123,-3.0021745353302176,0
6,pi_random_exploration,GP M52 PI + Random Exploration,4,40,20,60,15,20,1.0,7,0.35,2.929740691604343,0.563331732499817,10.856476588192956,5.049521177109977,-2.6345417087464194,0
6,pi_random_exploration,GP M52 PI + Random Exploration,5,40,25,65,10,20,1.0,7,0.35,2.930473573345449,0.4668327316178811,10.856476588192956,5.052907755061616,-2.62184993053122,0
6,pi_random_exploration,GP M52 PI + Random Exploration,6,40,30,70,5,20,1.0,7,0.35,2.7271634493599306,0.4763261628173429,10.856476588192956,4.691093930800639,-2.5956909902643157,0
6,pi_random_exploration,GP M52 PI + Random Exploration,7,40,35,75,0,20,1.0,7,0.35,2.7234935627685943,0.4609884441271399,10.856476588192956,4.6877688816285605,-2.60026682994047,0
