experiment_id,metal_amount,modulator,add_solvent,reaction_time,reaction_temperature,Intensity_exp,FWHM_exp,q_true,q_pred_mean,intensity_pred_mean,fwhm_pred_mean,rf_intensity_variance,rf_fwhm_variance,nearest_chebyshev_distance,rule1_neighbor_count,rule2_neighbor_count,rule_applied,intensity_3000_cross_rate,fwhm_3_cross_rate,y_abs_error,y_log_abs_error,row_idx,catastrophic,n_feature_outliers,mahalanobis_d2
Q029,15,5,8,11,23,26277.0,0.22,119441,95194.2,19990.8,0.21,21559734.165701248,0.001631916125,1.0,1,2,1,0.0,0.0,24246.8,0.2269023180236505,29,False,1,3.8881126156370307
Q030,15,5,8,12,23,20121.0,0.21,95814,116891.0,25716.0,0.22,31149350.665316246,0.001616787125,1.0,1,2,1,0.0,0.0,21077.0,0.198830366969517,30,False,1,2.705161388882645
Q031,15,5,11,10,21,18112.0,0.29,62455,71462.6,17657.4,0.248,34669607.053995,0.4432732098749999,2.0,0,3,2,0.0,0.0,9007.6,0.1329795545491627,31,False,0,3.5110798591314265
Q032,15,6,10,11,14,0.0,30.0,0,0.0,0.0,30.0,50326715.16541375,73.947294468875,2.0,0,1,2,1.0,0.0,0.0,0.0,32,False,0,17.685639965255433
Q033,15,6,14,12,21,19118.0,0.25,76472,88472.6,19635.4,0.222,61949181.6503275,0.001154427875,2.0,0,1,2,0.0,0.0,12000.6,0.1456263452070409,33,False,0,2.5849726350546165
Q034,15,6,23,12,24,32110.0,0.3,107033,93727.8,24550.8,0.262,83705193.05083749,0.00130189875,2.0,0,1,2,0.0,0.0,13305.2,0.1328753025573082,34,False,0,3.109905679963628
Q035,15,7,7,7,26,11663.0,0.23,50709,15856.8,13940.8,0.8800000000000001,65484944.901605,14.3855118205,3.0,0,0,0,0.0,0.0,34852.2,1.1629850558460433,35,False,0,3.6209341808941558
Q036,15,7,10,11,12,0.0,30.0,0,0.0,1288.0,30.0,50923466.40736749,86.514951066375,2.0,0,1,2,0.6,0.4,0.0,0.0,36,False,1,11.665099328673186
Q037,15,7,12,11,19,16751.0,0.22,76141,19113.2,7752.8,0.406,50088931.50422,0.8830905938749998,1.0,3,2,1,0.0,0.0,57027.8,1.382703200979511,37,False,1,18.445105399730217
Q038,15,7,13,9,23,23301.0,0.29,80348,90514.8,26374.8,0.298,54364558.19116125,3.9543179105,2.0,0,2,2,0.0,0.0,12421.6,0.1361527776986186,38,False,0,1.8369251976484915
Q039,15,7,13,11,18,7703.0,0.27,28530,15484.4,9880.4,0.642,37745199.90740125,26.109450328625,1.0,2,2,1,0.0,0.0,13045.6,0.6142303886295298,39,False,1,10.686696604756273
Q040,15,7,14,11,24,23969.0,0.21,114138,111644.0,27911.0,0.25,65859949.187047504,0.0010255154999999,2.0,0,5,2,0.0,0.0,2494.0,0.0221192621425771,40,False,1,10.926766719572594
Q041,15,7,16,12,29,31082.0,0.2,155410,45961.8,16163.0,0.356,188778519.66088623,3.97327028025,2.0,0,2,2,0.0,0.0,109448.2,1.2251031164004331,41,False,1,5.65620761397704
Q042,15,8,9,12,19,903.0,2.0,452,12821.4,9229.8,0.724,33916628.39562374,20.54881524725,2.0,0,1,2,0.0,0.0,12369.4,3.340644674171344,42,False,0,4.753597224611693
Q043,15,8,12,11,19,1103.0,0.8,1379,11958.4,10726.6,0.898,38290595.6052075,64.61382370562501,1.0,3,0,1,0.0,0.0,10579.4,2.1588637687232017,43,False,1,24.401733448208198
Q044,16,6,6,5,23,16918.0,0.31,54574,32235.0,15961.4,0.518,55315111.68094375,4.886821859125,3.0,0,0,0,0.0,0.0,22339.0,0.5500244096451983,44,False,0,2.7280047677708175
Q045,16,7,8,11,24,21878.0,0.21,104181,88541.6,21771.6,0.246,51505909.45880751,0.001176495125,2.0,0,5,2,0.0,0.0,15639.4,0.162915718538494,45,False,1,10.745014099796274
Q046,16,7,11,12,24,16348.0,0.28,58386,112287.2,28071.8,0.25,31312971.07116375,0.000577737125,1.0,1,2,1,0.0,0.0,53901.2,0.6539753036737661,46,False,1,2.6944879199159937
Q047,16,7,14,11,30,2331.0,0.3,7770,12987.2,27832.0,2.16,67743017.85401002,100.97703138162498,2.0,0,1,2,0.0,0.0,5217.2,0.5094877349140716,47,False,0,9.036158626250506
Q048,16,7,15,11,18,12791.0,0.3,42637,16229.8,9516.2,0.6199999999999999,74735380.44619125,20.65366320725,2.0,0,1,2,0.0,0.0,26407.2,0.9952831311142532,48,False,0,3.8985774566484612
